(14.5, -0.111)
(14.6, -0.108)
(14.7, -0.105)
(14.8, -0.103)
(14.9, -0.099)
(15.0, -0.097)
(15.1, -0.094)
(15.2, -0.092)
(15.3, -0.089)
(15.4, -0.085)
(15.5, -0.083)
(15.6, -0.08)
(15.7, -0.078)
(15.8, -0.075)
(15.9, -0.072)
(16.0, -0.069)
(16.1, -0.066)
(16.2, -0.063)
(16.3, -0.061)
(16.4, -0.058)
(16.5, -0.055)
(16.6, -0.052)
(16.7, -0.049)
(16.8, -0.047)
(16.9, -0.044)
(17.0, -0.041)
(17.1, -0.039)
(17.2, -0.036)
(17.3, -0.033)
(17.4, -0.031)
(17.5, -0.028)
(17.6, -0.026)
(17.7, -0.024)
(17.8, -0.021)
(17.9, -0.019)
(18.0, -0.017)
(18.1, -0.015)
(18.2, -0.012)
(18.3, -0.01)
(18.4, -0.008)
(18.5, -0.007)
(18.6, -0.005)
(18.7, -0.003)
(18.8, -0.001)
(18.9, 0.0)
(19.0, 0.001)
(19.1, 0.002)
(19.2, 0.003)
(19.3, 0.004)
(19.4, 0.005)
(19.5, 0.006)
(19.6, 0.007)
(19.7, 0.008)
(19.8, 0.009)
(19.9, 0.01)
(20.0, 0.01)
(20.1, 0.01)
(20.2, 0.01)
(20.3, 0.01)
(20.4, 0.01)
(20.5, 0.009)
(20.6, 0.008)
(20.7, 0.007)
(20.8, 0.006)
(20.9, 0.005)
(21.0, 0.004)
(21.1, 0.003)
(21.2, 0.001)
(21.3, -0.0)
(21.4, -0.002)
(21.5, -0.005)
(21.6, -0.007)
(21.7, -0.01)
(21.8, -0.013)
(21.9, -0.016)
(22.0, -0.019)
(22.1, -0.023)
(22.2, -0.026)
(22.3, -0.03)
(22.4, -0.035)
(22.5, -0.039)
(22.6, -0.044)
(22.7, -0.049)
(22.8, -0.054)
(22.9, -0.059)
(23.0, -0.066)
(23.1, -0.072)
(23.2, -0.078)
(23.3, -0.085)
(23.4, -0.092)
(23.5, -0.099)
(23.6, -0.107)
(23.7, -0.114)
(23.8, -0.123)
(23.9, -0.131)
(24.0, -0.141)
(24.1, -0.15)
(24.2, -0.159)
(24.3, -0.168)
(24.4, -0.179)
(24.5, -0.192)
(24.6, -0.201)
(24.7, -0.213)
(24.8, -0.225)
(24.9, -0.237)
(25.0, -0.248)
(25.1, -0.262)
(25.2, -0.276)
(25.3, -0.289)
(25.4, -0.305)
(25.5, -0.318)
(25.6, -0.334)
(25.7, -0.348)
(25.8, -0.366)
(25.9, -0.382)
(26.0, -0.398)
(26.1, -0.416)
(26.2, -0.434)
(26.3, -0.451)
(26.4, -0.471)
(26.5, -0.49)
(26.6, -0.51)
(26.7, -0.53)
(26.8, -0.551)
(26.9, -0.572)
(27.0, -0.594)
(27.1, -0.616)
(27.2, -0.638)
(27.3, -0.662)
(27.4, -0.686)
(27.5, -0.712)
(27.6, -0.735)
(27.7, -0.761)
(27.8, -0.788)
(27.9, -0.814)
(28.0, -0.841)
(28.1, -0.869)
(28.2, -0.898)
(28.3, -0.928)
(28.4, -0.958)
(28.5, -0.988)
(28.6, -1.019)
(28.7, -1.051)
(28.8, -1.084)
(28.9, -1.117)
(29.0, -1.151)
(29.1, -1.186)
(29.2, -1.219)
(29.3, -1.256)
(29.4, -1.291)
(29.5, -1.329)
(29.6, -1.367)
(29.7, -1.407)
(29.8, -1.447)
(29.9, -1.487)
(30.0, -1.527)
